id;question;option_a;option_b;option_c;option_d;answer_letter
73;"¿Qué combinaciones se forman cuando la ""b"" va seguida de ""r""?";bar, ber, bir, bor, bur;bra, bre, bri, bro, bru;arb, erb, irb, orb, urb;rab, reb, rib, rob, rub;B
74;¿Cuáles son las excepciones a la regla de sustantivos terminados en -bilidad?;Movilidad y civilidad;Habilidad y debilidad;Posibilidad y durabilidad;Amabilidad y sociabilidad;A
75;"¿Qué sílabas al inicio de palabra se escriben con ""b"" según el texto?";ba, be, bi;bu, bur, bus;bi, bis, biz;bra, bre, bri;B
76;¿Cuál es la excepción a la regla de palabras que comienzan con bu, bur y bus?;Vudú;Búfalo;Burla;Bucle;A
77;"¿Qué letra siempre se escribe después de ""m""?";v;b;p;d;B
78;¿Qué significan los prefijos bi-, bis- y biz-?;Tres veces;Dos veces;Una vez;Cuatro veces;B
79;¿Qué significan los prefijos bene-, ben- o bien-?;Mal o maldad;Bien o bondad;Lejos o distancia;Cerca o proximidad;B
80;¿Cuáles son las excepciones a la regla de palabras con bien- según el texto?;Vientre, viento, venenoso, venerar;Bienestar, bienhechor, bienal;Benévolo, beneficio, bendecir;Bienvenido, bienaventurado, bienandanza;A
81;¿Qué significa el prefijo bio-?;Libro;Vida;Dos;Bajo;B
82;¿Qué significa el prefijo biblio-?;Vida;Libro;Dos;Bajo;B
83;¿Qué significa el prefijo sub-?;Alto;Medio;Bajo;Arriba;C
84;"¿Qué terminaciones de verbos en infinitivo requieren ""b"" en sus flexiones según el texto?";-aver y -ever;-aber y -eber;-abir y -ebir;-acer y -ecer;B
85;¿Cuáles son las excepciones a la regla de verbos terminados en -aber y -eber?;Saber y caber;Deber y beber;Precaver y prever;Absorber y haber;C
86;"¿Qué sílabas iniciales se escriben con ""b"" según el texto?";ab, abs, ob, obs, abo, abu;ba, be, bi, bo, bu;bra, bre, bri, bro, bru;bla, ble, bli, blo, blu;A
87;"¿Qué terminación de verbos en infinitivo requiere ""b"" en sus flexiones?";-vir;-bir;-tir;-mir;B
88;¿Cuáles son las excepciones a la regla de verbos terminados en -bir?;Escribir, subir, prohibir;Recibir, sucumbir, exhibir;Hervir, servir, vivir;Escribir, recibir, subir;C
89;"¿Qué número de letra es la ""v"" en el abecedario?";Vigésima;Vigésimoprimera;Vigésimoquinta;Vigésimosexta;C
90;"¿Qué terminaciones de adjetivos se escriben con ""v""?";-aba, -abo, -ebe, -ebo;-ava, -ave, -avo, -eva, -eve, -evo, -iva, -ivo, -ive;-iba, -ibe, -ibo, -uba, -ube;-ada, -ade, -ado, -eda, -ede;B
91;"¿Qué letras antes de ""v"" requieren que siempre se escriba con ""v""?";a y e;b y n;c y d;m y p;B
92;"¿Después de qué sílaba inicial se escribe ""v""?";ab;ob;ad;sub;C
93;¿Qué significa la terminación -voro?;Beber;Dormir;Comer;Caminar;C
94;¿Qué significa el prefijo viti-?;Vino;Vid;Vida;Villa;B
95;¿Qué significa el prefijo vini-?;Vid;Vino;Vida;Villa;B
96;¿Qué significa villa- en las palabras compuestas?;Ciudad grande;Casa de campo o población pequeña;Edificio alto;Palacio real;B
97;"¿Qué número de letra es la ""c"" en el alfabeto?";La segunda;La tercera;La cuarta;La quinta;B
98;"¿Cuántos sonidos tiene la letra ""c""?";Uno;Dos;Tres;Cuatro;B
99;"¿Qué terminación de verbos se escribe con ""c""?";-sir;-tir;-cir;-mir;C
100;¿Cuál es la excepción a la regla de verbos terminados en -cir?;Decir;Conducir;Asir y sus compuestos;Traducir;C
101;"¿Qué terminaciones se escriben con ""c"" según el texto?";-isia, -isie, -isio;-icia, -icie, -icio;-izia, -izie, -izio;-ixia, -ixie, -ixio;B
102;"¿De qué adjetivos provienen las palabras con terminación -ción que se escriben con ""c""?";Terminados en -so o -do;Terminados en -to o -do;Terminados en -ro o -lo;Terminados en -no o -mo;B
103;"¿Qué terminación de sustantivos se escribe con ""c""?";-azia;-asia;-acia;-axia;C
104;¿Cuáles son las excepciones a la regla de terminación -acia?;Democracia, farmacia, desgracia;Amasia, idiosincrasia, gimnasia, anastasia, Asia;Tecnocracia, burocracia, aristocracia;Abogacía, diplomacia, supremacía;B
105;"¿Qué terminación de verbos se escribe con ""c""?";-zer;-cer;-ser;-ter;B
106;¿Cuáles son las excepciones a la regla de verbos terminados en -cer?;Nacer, crecer, conocer;Hacer, deshacer, ofrecer;Toser, coser;Mecer, atardecer, anochecer;C
107;"¿Qué terminación de verbos se escribe con ""c""?";-ziar;-siar;-ciar;-tiar;C
108;¿Cuáles son las excepciones a la regla de verbos terminados en -ciar?;Financiar, pronunciar, divorciar;Anunciar, renunciar, vaciar;Asear, lisiar, extasiar;Espaciar, propiciar, viciar;C
109;"¿Qué terminaciones de sustantivos se escriben con ""c""?";-ansio, -ansia, -ensia;-ancio, -ancia, -encia;-anzio, -anzia, -enzia;-anxio, -anxia, -enxia;B
110;¿Cuáles son las excepciones a la regla de terminaciones -ancio, -ancia, -encia?;Cansancio, elegancia, presencia;Rancio, fragancia, decencia;Ansia, Hortensia;Importancia, constancia, inocencia;C
111;"¿Qué sucede con las palabras terminadas en ""z"" al formar el plural?";La z se mantiene;La z se convierte en c formando -ces;La z se convierte en s;La z desaparece;B
112;"¿Qué letra se escribe antes de ""e"" en las flexiones de verbos terminados en -zar?";s;z;c;x;C
113;"¿Qué terminaciones de diminutivos se escriben con ""c""?";-sito/a, -sillo/a;-cito/a, -cillo/a, -cico/a;-zito/a, -zillo/a;-tito/a, -tillo/a;B
114;"¿Qué número de letra es la ""s"" en el alfabeto?";Vigésima;Vigesimoprimera;Vigesimosegunda;Vigesimoséptima;C
115;"¿Qué terminaciones de adjetivos se escriben con ""s""?";-civo, -civa;-zivo, -ziva;-sivo, -siva;-tivo, -tiva;C
116;¿Cuál es la excepción a la regla de terminaciones -sivo y -siva?;Decisivo;Expansivo;Nocivo;Agresivo;C
117;¿De qué adjetivos se derivan los sustantivos con terminación -sión?;Terminados en -to, -tor;Terminados en -so, -sor, -sible, -sivo;Terminados en -do, -dor;Terminados en -ro, -ror;B
118;"¿Qué terminaciones de gentilicios se escriben con ""s""?";-ense, -és;-ence, -éz;-ense, -éz;-ence, -és;A
119;"¿Qué terminación de adjetivos en grado superlativo se escribe con ""s""?";-ísima;-ízimo;-ícimo;-ísimo;D
120;"¿Qué terminaciones de adjetivos se escriben con ""s""?";-oza, -ozo;-osa, -oso;-oca, -oco;-ova, -ovo;B
121;¿Cuáles son las excepciones a la regla de terminaciones -osa y -oso?;Amorosa, gracioso, hermosa;Preciosa, leproso, virtuoso;Alborozo, calabozo, mozo, sollozo, trozo, destrozo;Grandiosa, estudioso, trabajoso;C
122;"¿Qué terminación de nombres se escribe con ""s""?";-izmo;-ismo;-icmo;-isto;B
123;"¿Qué terminación de adjetivos y numerales se escribe con ""s""?";-ésima;-écima;-ézima;-ésimo/a;D
124;¿Cuáles son las excepciones a la regla de terminación -ésimo/a?;Vigésimo, trigésimo, centésimo;Cuadragésimo, quincuagésimo, sexagésimo;Décimo y sus compuestos;Milésimo, millonésimo, pésimo;C
125;¿Qué letra es la última del alfabeto?;y;x;z;w;C
126;¿Con qué terminación se escriben aumentativos y palabras ponderativas?;-aso/a;-azo/a;-aco/a;-ato/a;B
127;¿Qué significa la terminación -azo cuando indica golpe?;Tamaño grande;Alabanza;Golpe;Desprecio;C
128;"¿Qué sufijos se usan para formar diminutivos y despectivos con ""z""?";-suelo/a, -esno/a;-cuelo/a, -ecno/a;-zuelo/a, -ezno/a;-tuelo/a, -emno/a;C
129;¿Qué tipo de apellidos se escriben con terminaciones -az, -ez, -iz, -oz, -uz?;Apellidos extranjeros;Apellidos modernos;Apellidos patronímicos españoles;Apellidos compuestos;C
130;"¿Qué tipo de sustantivos tienen terminaciones -ez y -eza con ""z""?";Sustantivos concretos;Sustantivos colectivos;Sustantivos abstractos;Sustantivos propios;C
131;"¿Qué terminación de algunos sustantivos se escribe con ""z""?";-asgo;-azgo;-asco;-atgo;B
132;¿Cuál es la excepción a la regla de terminación -azgo?;Hallazgo;Liderazgo;Rasgo;Noviazgo;C
133;¿Qué palabra es ejemplo de sustantivo terminado en -bilidad?;Movilidad;Habilidad;Civilidad;Sensibilidad;B
134;¿Qué palabra es ejemplo de verbo terminado en -cir?;Asir;Esparcir;Hervir;Servir;B
135;¿Qué palabra es ejemplo de adjetivo terminado en -sivo?;Nocivo;Agresivo;Activo;Pasivo;B
136;¿Qué palabra es ejemplo de gentilicio terminado en -ense?;Francés;Japonés;Sucrense;Inglés;C
137;¿Qué palabra es ejemplo de apellido patronímico terminado en -ez?;Alcaraz;Martínez;Muñoz;Ruiz;B
138;¿Qué palabra es ejemplo de sustantivo abstracto terminado en -eza?;Belleza;Honradez;Timidez;Escasez;A
139;¿Qué significa nocivo según el texto?;Beneficioso;Perjudicial;Neutro;Positivo;B
140;¿Cuántas letras causan más dificultades ortográficas según el texto?;Tres pares de letras;Cuatro pares de letras;Cinco letras diferentes;Dos pares de letras;A
141;"¿Cuál es la posición de la letra ""g"" en el alfabeto?";Séptima;Octava;Novena;Décima;B
142;"¿Qué vocal se intercala entre la ""g"" para mantener el sonido suave antes de ""e"" o ""i""?";a;o;u;i;C
143;"¿Cómo se llaman los dos puntos que se colocan sobre la ""u"" en palabras como ""pingüino""?";Tilde;Diéresis o crema;Acento;Punto;B
144;¿Qué palabra es un ejemplo correcto del uso de la diéresis?;Guia;Guitara;Bilingüe;Entregue;C
145;"¿Qué prefijo significa ""tierra"" y se escribe con ""g""?";germ-;geo-;gest-;leg-;B
146;"¿Cuál de las siguientes palabras NO se escribe con ""g"" inicial?";Germinar;Gestación;Jerárquico;Gérmenes;C
147;"¿Qué significan las raíces latinas ""leg-"" o ""legis-""?";Tierra;Ley;Gesto;Germen;B
148;¿Cuál es la forma correcta de escribir el verbo en infinitivo?;Exijir;Exigir;Ecsigir;Exijir;B
149;¿Qué verbos son excepciones a la regla de terminaciones en -gir y -ger?;Crujir y brujir;Dirigir y exigir;Corregir y proteger;Afligir y recoger;A
150;¿Con qué letra se escribe la palabra que significa mecer?;Mejer;Meger;Meher;Meser;A
151;"¿Cómo se escribe correctamente la flexión del verbo ""proteger"" en primera persona singular del presente subjuntivo?";Protega;Proteje;Proteja;Protega;C
152;"¿Qué terminación numérica ordinal se escribe con ""g""?";-jésimo;-gésimo;-césimo;-sésimo;B
153;"¿Cuál es la posición de la letra ""j"" en el abecedario?";Décima;Undécima;Duodécima;Novena;B
154;"¿Qué terminación de sustantivos se escribe con ""j""?";-age;-aje;-ague;-ache;B
155;¿Cuál de estas palabras se escribe correctamente?;Arbitrage;Sabotage;Aprendizaje;Lenguage;C
156;"¿Qué prefijo inicial se escribe con ""j""?";adje-;adg-;adj-;adye-;C
157;"¿Cuál palabra comienza correctamente con ""eje-""?";Ejecusión;Ejercicio;Egsercicio;Egercicio;B
158;"¿Qué terminación de oficio o lugar se escribe con ""j""?";-gero y -gería;-jero y -jería;-hero y -hería;-geiro y -geiría;B
159;¿Cómo se escribe correctamente la profesión relacionada con relojes?;Relojero;Relogero;Relohero;Relocero;A
160;"¿Cuál es la forma correcta del verbo ""trabajar"" en primera persona singular del pretérito?";Trabajé;Trabagé;Travajé;Travagé;A
161;"¿Qué diptongos al inicio de palabra requieren ""h""?";ia, ie, ue, ui;ai, ei, ou, oi;ea, eo, au, eu;ao, ae, io, iu;A
162;"¿Cuál de estas palabras se escribe correctamente con ""h"" inicial?";Ielo;Huelo;Ueso;Ierro;B
163;"¿Qué prefijo significa agua y se escribe con ""h""?";hidro-;idro-;ydro-;higro-;A
164;¿Cuál palabra relacionada con agua se escribe correctamente?;Idratar;Hidratar;Ydratar;Igratar;B
165;"¿Qué prefijo significa ""superioridad"" y se escribe con ""h""?";super-;hiper-;iper-;hyper-;B
166;¿Cuál es la forma correcta de escribir la condición médica de presión arterial alta?;Ipertensión;Hypertensión;Hipertensión;Hipertenssión;C
167;"¿Qué prefijo significa ""inferioridad"" y se escribe con ""h""?";sub-;infra-;hipo-;ipo-;C
168;¿Cómo se escribe correctamente la palabra que significa temperatura corporal baja?;Ipotermia;Hypotermia;Hipotermia;Opotermia;C
169;"¿Cuál es una interjección que se escribe con ""h""?";¡Ay!;¡Oh!;¡Uh!;¡Oy!;C
170;"¿En qué caso la ""g"" suena como ""j""?";"Antes de ""a""";"Antes de ""e"" o ""i""";"Antes de ""o""";"Antes de ""u""";B
171;"¿Qué palabra es ejemplo de la raíz ""gest-""?";Gesticular;Jesticular;Desticular;Resticular;A
172;¿Cuál es el ordinal correcto para el número 70?;Setentésimo;Septuagésimo;Setenta;Septagésimo;B
173;"¿Cómo se conjuga ""dirigir"" en tercera persona singular del presente indicativo?";Dirije;Dirige;Dirigue;Dirigue;B
174;"¿Qué palabra se escribe con ""j"" por comenzar con ""obj-""?";Ovjetivo;Objetivo;Obgetivo;Ovgetivo;B
175;"¿Cuál es la forma correcta de la flexión del verbo ""hojear""?";Hogee;Hojee;Hogear;Hogié;B
176;"¿Qué palabra relacionada con geografía se escribe con ""g""?";Jeografía;Geografía;Geographía;Yeografía;B
177;¿Cuál es la excepción correcta en los verbos terminados en -ger?;Meger;Mejer;Teger;Teher;B
178;¿Cómo se escribe la palabra que significa línea de descendencia?;Linage;Linaje;Linage;Linague;B
179;"¿Qué palabra combina correctamente ""ue"" inicial con ""h""?";Uevo;Huevo;Wuevo;Uebo;B
180;"¿Cuál es la forma correcta del verbo ""exigir"" en primera persona singular del presente subjuntivo?";Exiga;Exija;Exije;Exigua;B
181;"¿Qué palabra significa estudio de la tierra y se escribe con ""g""?";Jeología;Geolojía;Geología;Yeología;C
182;¿Cómo se escribe correctamente el ordinal del número 90?;Noventésimo;Nonagésimo;Novagésimo;Novenagésimo;B
183;¿Qué palabra relacionada con hidrógeno se escribe correctamente?;Idrogeno;Hidrógeno;Ydrogeno;Hidrogéno;B
184;¿Cuál es la forma correcta de escribir el lugar donde se almacenan cosas?;Almasenaje;Almacenage;Almacenaje;Almasenage;C
185;¿Qué palabra significa persona de otro país?;Estrangero;Extranjero;Estranjero;Extrangero;B
186;¿Cómo se escribe la palabra que significa acción de legislar?;Legislasión;Lejislación;Legislación;Legilación;C
187;"¿Qué palabra relacionada con ""hipo-"" (caballo) se escribe correctamente?";Ipódromo;Hipódromo;Ypódromo;Hipódrome;B
188;¿Cuál es la forma correcta de la palabra que significa legalmente válido?;Lejítimo;LeJítimo;Legítimo;Legitimó;C
189;"¿Cómo se escribe correctamente la flexión del verbo ""corregir"" en tercera persona singular del presente?";Corrije;Corrige;Corrigue;Corrigge;B
190;¿Qué es el razonamiento verbal según el documento?;La capacidad de memorizar palabras;La facultad que permite demostrar la capacidad idiomática reflexiva;La habilidad de escribir rápido;La capacidad de leer en voz alta;B
191;¿Qué implica la capacidad idiomática reflexiva?;Solo memorizar reglas;La capacidad de establecer relaciones y dar sentido en función del idioma;Escribir sin errores;Hablar varios idiomas;B
192;¿Cuándo se alcanza el dominio de un idioma según el texto?;Al nacer;Cuando se ha enriquecido nuestro vocabulario;Al terminar la escuela;Al viajar mucho;B
193;¿Para qué nos permiten expresarnos las palabras cuando dominamos el idioma?;Con dudas;Con propiedad y claridad al transmitir nuestras ideas;Con dificultad;Con lentitud;B
194;¿Qué buscan evaluar los ejercicios de razonamiento verbal?;La velocidad de escritura;La comprensión y el uso adecuado del lenguaje;La memoria fotográfica;La capacidad de dibujar;B
195;¿Qué capacidad permiten medir los ejercicios de razonamiento verbal?;De cantar;De reconocer relaciones entre palabras, completar ideas y utilizar con precisión los recursos idiomáticos;De calcular;De dibujar;B
196;¿Cuáles son los dos tipos de ejercicios que se destacan en el tema?;Dictados y lecturas;Oraciones incompletas y analogías;Resúmenes y ensayos;Poemas y cuentos;B
197;¿Qué es una oración según el documento?;Solo un verbo;La palabra o conjunto de palabras que tiene sentido completo y autonomía sintáctica;Una letra;Un párrafo largo;B
198;¿Qué significa completar una oración?;Alargarla;Completar un pensamiento, dotarla de sentido pleno;Copiarla;Memorizarla;B
199;¿Qué miden las preguntas de oraciones incompletas?;La velocidad de lectura;La comprensión de ideas involucradas en una oración gramatical y el empleo de estas;El tamaño de la letra;La cantidad de palabras;B
200;¿Qué exigen las oraciones incompletas para resolverlas correctamente?;Solo intuición;Una clara comprensión y un buen sentido de conjunto;Solo suerte;Solo memoria;B
201;¿Cuál NO es un criterio para resolver oraciones incompletas?;Lógica de la oración;Forma gramatical;Longitud de las palabras;Sentido objetivo de la oración;C
202;"En el ejemplo ""La amistad verdadera se basa en la confianza y no en buscar beneficios personales o _____"", ¿cuál es la respuesta correcta?";Egoísmo;Intereses;Afecto;Respeto;B
203;"En el ejemplo ""El fuego se apaga con agua, así como la ignorancia se disipa con _____"", ¿cuál es la respuesta correcta?";Deporte;Pereza;Estudio;Experiencia;C
204;"En el ejemplo ""María no pudo asistir a la reunión de trabajo porque estaba ____ con otro compromiso"", ¿cuál es la respuesta correcta?";Ocupada;Enferma;Alegría;Lejana;A
205;¿Qué son las analogías verbales?;Diferencias entre palabras;Las semejanzas que existen entre parejas de palabras;Palabras largas;Sinónimos solamente;B
206;¿Qué se trata de establecer en las analogías?;Diferencias entre cosas;Una analogía entre relaciones y no entre cosas;Solo palabras iguales;Solo palabras contrarias;B
207;¿Qué significa el signo (::) en las analogías?;Es a;Como;Igual;Diferente;B
208;¿Qué significa el signo (:) en las analogías?;Como;Es a;Diferente;Similar;B
209;¿Cuándo se establece la relación de sinonimia?;Cuando son opuestos;Cuando ambos términos poseen un significado muy parecido o equivalente;Cuando suenan igual;Cuando se escriben igual;B
210;¿Qué ejemplo corresponde a la relación de sinonimia?;Caliente : Frío;Avaro : Mezquino;Coser : Cocer;Río : Río;B
211;¿Cuándo se da la relación de antonimia?;Cuando suenan igual;Cuando se escriben igual;Cuando los términos tienen significados opuestos o contrarios entre sí;Cuando son sinónimos;C
212;¿Qué tipo de oposición puede tener la relación de antonimia?;Solo total;Total o parcial;Solo parcial;Ninguna;B
213;¿Qué ejemplo corresponde a la relación de antonimia?;Avaro : Mezquino;Caliente : Frío;Coser : Cocer;Actitud : Aptitud;B
214;¿Cuándo ocurre la relación de paronimia?;Cuando son sinónimos;Entre palabras que se parecen mucho en su forma o sonido, pero difieren en su significado;Cuando son antónimos;Cuando suenan exactamente igual;B
215;¿Qué puede causar el parecido en las palabras parónimas?;Nada;Confusiones ortográficas o semánticas;Solo alegría;Solo claridad;B
216;¿Qué ejemplo corresponde a la relación de paronimia?;Caliente : Frío;Coser : Cocer;Actitud : Aptitud;Río : Río;C
